gvkey,datadate,conm,rdq,atq,cshoq,cik,ticker
001045,20200331,AMERICAN AIRLINES GROUP INC,20200430,58580.0000,422.8870,0000006201,AMR
001075,20200331,PINNACLE WEST CAPITAL CORP,20200508,18561.7600,112.4920,0000764622,AZP
001078,20200331,ABBOTT LABORATORIES,20200416,66777.0000,1768.8450,0000001800,ABT
001161,20200331,ADVANCED MICRO DEVICES,20200428,5864.0000,1171.0000,0000002488,AMD
001230,20200331,ALASKA AIR GROUP INC,20200505,13363.0000,122.5850,0000766421,ALK
001300,20200331,HONEYWELL INTERNATIONAL INC,20200501,57422.0000,701.8480,0000773840,ALD
001380,20200331,HESS CORP,20200507,20717.0000,307.1580,0000004447,AHC
001440,20200331,AMERICAN ELECTRIC POWER CO,20200506,77724.0000,495.2080,0000004904,AEP
001447,20200331,AMERICAN EXPRESS CO,20200424,186060.0000,805.0000,0000004962,AXP
001449,20200331,AFLAC INC,20200429,151616.0000,718.3820,0000004977,AFL
001487,20200331,AMERICAN INTERNATIONAL GROUP,20200504,510477.0000,861.2910,0000005272,AIG
001598,20200331,AMETEK INC,20200505,10601.9460,229.4320,0001037868,MATS
001602,20200331,AMGEN INC,20200430,61669.0000,588.0000,0000318154,AMGN
001678,20200331,APA CORP,20200506,13391.0000,377.4240,0001841666,APA
001722,20200331,ARCHER-DANIELS-MIDLAND CO,20200429,48395.0000,555.0000,0000007084,ADM
001913,20200331,AVERY DENNISON CORP,20200429,6260.9000,83.3210,0000008818,AVY
001988,20200331,BALL CORP,20200507,16545.0000,325.9190,0000009389,BLL
002019,20200331,BANK OF NEW YORK MELLON CORP,20200416,468155.0000,885.4430,0001390777,BK
002086,20200331,BAXTER INTERNATIONAL INC,20200430,19075.0000,508.3890,0000010456,BAX
002136,20200331,VERIZON COMMUNICATIONS INC,20200424,294500.0000,4137.9950,0000732712,BEL
002176,20200331,BERKSHIRE HATHAWAY,20200502,760448.0000,2430.0350,0001067983,BKHT/1
002285,20200331,BOEING CO,20200429,143075.0000,564.3130,0000012927,BA
002312,20200331,ROBERT HALF INTL INC,20200423,2274.8520,114.6020,0000315213,BCMP
002403,20200331,BRISTOL-MYERS SQUIBB CO,20200507,129285.0000,2262.6600,0000014272,BMY
002547,20200331,CIGNA CORP,20200430,154711.0000,369.3170,0001739940,CI
002574,20200331,CSX CORP,20200422,38834.0000,765.4590,0000277948,CSX
002817,20200331,CATERPILLAR INC,20200428,75894.0000,541.9520,0000018230,CAT
002884,20200331,LUMEN TECHNOLOGIES INC,20200506,64056.0000,1097.7110,0000018926,CTL
002968,20200331,JPMORGAN CHASE & CO,20200414,3139431.0000,3047.0230,0000019617,CHL
002991,20200331,CHEVRON CORP,20200501,236677.0000,1866.9790,0000093410,CHV
003026,20200331,CHURCH & DWIGHT INC,20200430,7485.9000,245.7560,0000313927,CRCH
003144,20200331,COCA-COLA CO,20200421,94013.0000,4294.0000,0000021344,KO
003170,20200331,COLGATE-PALMOLIVE CO,20200501,15070.0000,856.5280,0000021665,CL
003221,20200331,AON PLC,20200501,30282.0000,231.1000,0000315293,PMA
003226,20200331,COMCAST CORP,20200430,262421.0000,4564.0930,0001166691,CMCS
003231,20200331,COMERICA INC,20200421,76337.0000,139.0370,0000028412,CMCA
003243,20200331,CITIGROUP INC,20200415,2219770.0000,2081.8080,0000831001,CCC2
003413,20200331,CONSOLIDATED EDISON INC,20200507,59159.0000,334.0000,0001047862,ED
003439,20200331,CMS ENERGY CORP,20200427,27447.0000,286.2000,0000811156,CMS
003505,20200331,MOLSON COORS BEVERAGE CO,20200430,28461.1000,216.5000,0000024545,ACCO
003532,20200331,CORNING INC,20200428,27859.0000,759.0000,0000024741,GLW
003650,20200331,CUMMINS INC,20200428,20076.0000,147.5260,0000026172,CUM
003735,20200331,DANAHER CORP,20200506,68930.3000,697.0000,0000313616,DMG
003851,20200331,DELTA AIR LINES INC,20200422,68738.0000,637.8360,0000027904,DAL
003897,20200331,DTE ENERGY CO,20200428,43232.0000,192.6120,0000936340,DTE
004029,20200331,DOMINION ENERGY INC,20200505,104126.0000,839.0000,0000715957,D
004058,20200331,DOVER CORP,20200421,8944.2530,143.9470,0000029905,DOV
004060,20200331,DUPONT DE NEMOURS INC,20200505,67987.0000,733.7940,0001666700,DWDP
004066,20200331,OMNICOM GROUP INC,20200428,23675.9000,214.2830,0000029989,DOYL
004093,20200331,DUKE ENERGY CORP,20200512,160072.0000,735.0000,0001326160,DUK
004108,20200331,FLOWSERVE CORP,20200507,4762.0740,129.7910,0000030625,DURI
004145,20200331,PERKINELMER INC,20200505,6384.3960,111.3060,0000031791,EGG
004199,20200331,EATON CORP PLC,20200430,30845.0000,400.0000,0001551182,ETN
004213,20200331,ECOLAB INC,20200428,22339.6000,289.2020,0000031462,ECON
004423,20200331,EQUIFAX INC,20200420,7622.8000,121.4000,0000033185,EFX
004494,20200331,EXPEDITORS INTL WASH INC,20200505,3509.9670,166.1930,0000746515,EXPD
004503,20200331,EXXON MOBIL CORP,20200501,355804.0000,4228.2110,0000034088,XON
004510,20200331,FMC CORP,20200505,10189.2000,129.4470,0000037785,FMC
004517,20200331,NEXTERA ENERGY INC,20200422,120637.0000,489.4500,0000753308,FPL
004605,20200331,FEDERAL REALTY INVESTMENT TR,20200506,7759.9140,75.6230,0000034903,FRT
004640,20200331,FIFTH THIRD BANCORP,20200421,185391.0000,711.3060,0000035527,FITB
004674,20200331,REGIONS FINANCIAL CORP,20200417,133542.0000,957.4740,0001281761,FABC
004699,20200331,M & T BANK CORP,20200420,124577.8330,128.2650,0000036270,FEMP
004723,20200331,US BANCORP,20200415,542909.0000,1506.0840,0000036104,FBS
004839,20200331,FORD MOTOR CO,20200428,264150.0000,3977.0400,0000037996,F
004973,20200331,ARTHUR J GALLAGHER & CO,20200430,20836.5000,189.6210,0000354190,AJGC
005046,20200331,GENERAL DYNAMICS CORP,20200429,53710.0000,286.8650,0000040533,GD
005047,20200331,GENERAL ELECTRIC CO,20200429,262021.0000,8747.0920,0000040545,GE
005073,20200331,GENERAL MOTORS CO,20200506,246624.0000,1400.0000,0001467858,GNM
005125,20200331,GENUINE PARTS CO,20200506,14451.3550,144.2490,0000040987,GPC
005256,20200331,GRAINGER (W W) INC,20200423,7177.0000,53.4680,0000277135,GWW
005439,20200331,HALLIBURTON CO,20200420,23622.0000,874.0000,0000045012,HAL
005492,20200331,L3HARRIS TECHNOLOGIES INC,20200505,38105.0000,215.7590,0000202058,HRS
005518,20200331,HASBRO INC,20200429,10424.3590,137.0070,0000046080,HAS
005543,20200331,WELLTOWER INC,20200506,32923.0280,417.3910,0000766704,HCN
005568,20200331,KRAFT HEINZ CO,20200430,104073.0000,1222.0000,0001637459,KHC
005597,20200331,HERSHEY CO,20200423,8855.4430,208.1620,0000047111,HSY
005643,20200331,HILTON WORLDWIDE HOLDINGS,20200507,15788.0000,277.1530,0001585689,HLTT
005667,20200331,HF SINCLAIR CORP,20200507,11221.7940,161.8850,0001915657,HOC
005742,20200331,CENTERPOINT ENERGY INC,20200507,33395.0000,502.6470,0001130310,HOU
005783,20200331,HUNT (JB) TRANSPRT SVCS INC,20200414,5380.0420,105.4610,0000728535,JBHT
005786,20200331,HUNTINGTON BANCSHARES,20200423,113897.0000,1014.2180,0000049196,HBAN
005878,20200331,ILLINOIS TOOL WORKS,20200505,14149.0000,315.9320,0000049826,ITW
005959,20200331,TRANE TECHNOLOGIES PLC,20200505,17635.6000,239.2000,0001466258,IR
006008,20200331,INTEL CORP,20200423,147710.0000,4234.0000,0000050863,INTC
006066,20200331,INTL BUSINESS MACHINES CORP,20200420,153403.0000,887.8920,0000051143,IBM
006078,20200331,INTL FLAVORS & FRAGRANCES,20200511,12689.0760,106.8120,0000051253,IFF
